binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Lecanophora ameghinoi,,Lecanophora ameghinoi,,in AR list but not in AF checklist,0,,,,,,,,,"cat2: Plantas abundantes, presentes en sólo una de las grandes unidades fitogeog",,,,,,,
Lecanophora ecristata,,Lecanophora ecristata,,in AR list but not in AF checklist,0,,,,,,,,,"cat2: Plantas abundantes, presentes en sólo una de las grandes unidades fitogeog",,,,,,,
Lecythis chartacea,Lecythidaceae,Lecythis chartacea O.Berg,tree,new to AF,250,NA,0.58,occasional,Not in the AF,1,177,,,,,,,,,,
Lecythis ibiriba,Lecythidaceae,"Lecythis ibiriba (Miers) N. P. Sm., S. A. Mori & Popovkin",tree,confirmed,43,NA,98.59,near_endemic,Endemic,35,0,,,,,,,,,,
Lecythis lanceolata,Lecythidaceae,Lecythis lanceolata Poir.,tree,confirmed,219,NA,64.5,widespread,Endemic,90,46,,,,,,,,,,
Lecythis lurida,Lecythidaceae,Lecythis lurida (Miers) S.A.Mori,tree,confirmed,304,NA,39.24,widespread,Not endemic,120,160,,,,timber,yes,,,,,
Lecythis pisonis,Lecythidaceae,Lecythis pisonis Cambess.,tree,confirmed,423,NA,35.31,widespread,Not endemic,141,232,,,,timber,yes,,,,,
Lecythis schwackei,Lecythidaceae,Lecythis schwackei (R.Knuth) S.A.Mori,tree,confirmed,6,NA,83.33,widespread,Not endemic,2,0,,,,,,,,,,
Leocereus bahiensis,Cactaceae,Leocereus bahiensis Britton & Rose,shrub,new to AF,23,NA,50.0,widespread,Not in the AF,2,4,,,,,,,,,,
Lepidaploa acutangula,Asteraceae,Lepidaploa acutangula (Gardner) H.Rob.,shrub,new to AF,31,NA,61.9,widespread,Not in the AF,12,7,,,,,,,,,,
Lepidaploa cotoneaster,Asteraceae,Lepidaploa cotoneaster (Willd. ex Spreng.) H.Rob.,shrub,new to AF,372,NA,65.07,widespread,Not in the AF,125,54,,,,,,,,,,
Lepidium burkartii,,Lepidium burkartii,,in AR list but not in AF checklist,0,,,,,,,,,"cat3: Plantas comunes, aunque no abundantes en una o más de las unidades fitogeo",,,,,,,
Lepidium parodii,,Lepidium parodii,,in AR list but not in AF checklist,0,,,,,,,,,"cat4: Plantas restringidas a una sola provincia política, o con áreas reducidas ",,,,,,,
Lepidium stuckertianum,,Lepidium stuckertianum,,in AR list but not in AF checklist,0,,,,,,,,,"cat3: Plantas comunes, aunque no abundantes en una o más de las unidades fitogeo",,,,,,,
Leptolobium bijugum,Fabaceae,Leptolobium bijugum (Spreng.) Vogel,tree,confirmed,186,NA,99.68,near_endemic,Endemic,160,0,,,,,,,,,,
Leptolobium brachystachyum,Fabaceae,Leptolobium brachystachyum (Benth.) Sch.Rodr. & A.M.G.Azevedo,tree,new to AF,93,NA,11.63,widespread,Not in the AF,3,59,,,,,,,,,,
Leptolobium dasycarpum,Fabaceae,Leptolobium dasycarpum Vogel,tree,new to AF,872,NA,9.03,occasional,Not in the AF,39,560,,,,,,,,,,
Leptolobium elegans,Fabaceae,Leptolobium elegans Vogel,tree,new to AF,373,NA,35.56,widespread,Not in the AF,85,149,,,,,,,,,,
